ID DISTRIBUIDORA;PERIODO;CONJUNTO;COD CONJUNTO;NUMERO UCS;DECTOT;FECTOT;DECXP;FECXP;DECXN;FECXN;DECIP;FECIP;DECIND;FECIND;DECINE;FECINE;DECINC;FECINC;DECINO;FECINO;DECIPC;FECIPC;DECXPC;FECXPC;DECXNC;FECXNC
6072;Janeiro/2023;ARACU;14866;2.526;4,23;0,87;0,00;0,00;0,00;0,00;0,00;0,00;0,78;0,30;3,37;0,53;0,08;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;ARAGARCAS;14867;8.244;1,80;1,27;0,00;0,00;0,00;0,00;0,00;0,00;1,16;0,20;0,64;1,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;ARENOPOLIS;14868;2.375;6,48;1,62;0,00;0,00;0,00;0,00;0,00;0,00;3,73;0,44;2,28;1,15;0,47;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;ARUANA;14869;4.851;4,80;2,66;0,00;0,00;0,00;0,00;0,09;0,04;3,56;2,46;0,25;0,06;0,90;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;ATLANTICO S1;14870;39.597;0,77;0,75;0,00;0,00;0,00;0,00;0,03;0,01;0,30;0,41;0,37;0,31;0,07;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;ATLANTICO S2;14871;35.705;0,93;0,91;0,00;0,00;0,00;0,00;0,06;0,02;0,66;0,49;0,21;0,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;ATLANTICO S3;14872;40.128;1,25;1,13;0,00;0,00;0,00;0,00;0,00;0,00;0,42;0,25;0,83;0,88;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;BARRO ALTO;14873;6.429;9,54;1,72;0,00;0,00;0,00;0,00;0,05;0,02;5,79;0,74;3,70;0,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;BOM JARDIM;14875;5.481;12,62;2,29;0,00;0,00;0,00;0,00;0,00;0,00;4,06;0,55;3,16;1,22;5,33;0,50;0,00;0,00;0,07;0,02;0,00;0,00;0,00;0,00
6072;Janeiro/2023;BOM JESUS DE GOIAS;14876;10.298;7,41;1,91;0,00;0,00;0,00;0,00;0,00;0,00;4,06;1,27;2,60;0,49;0,75;0,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;BRITANIA;14877;7.559;11,81;2,66;0,00;0,00;0,00;0,00;0,00;0,00;8,86;2,27;2,48;0,31;0,47;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;CACHOEIRA ALTA;14879;29.167;5,42;1,35;0,00;0,00;0,00;0,00;0,10;0,03;2,78;0,82;2,22;0,46;0,30;0,04;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,00
